Item,Prices,Votes
Chicken Biryani Full,₹230,17019 votes
Chicken Biryani Single,₹140,16667 votes
Chicken Biryani Family,₹550,3586 votes
Mutton Biryani Full,₹250,4092 votes
Mutton Biryani Single,₹150,4885 votes
Chicken Biryani Jumbo,₹700,1963 votes
Spl. Chicken Biryani,₹310,1636 votes
Mutton Biryani Family,₹600,631 votes
Tandoori Chicken,₹220,1358 votes
Chicken Special Shawarma,₹135,1693 votes
Grilled Chicken,₹200,884 votes
Paneer Biryani,₹220,1226 votes
Chicken - 65,₹240,743 votes
Spl. Mutton Biryani,₹320,459 votes
Mutton Biryani Jumbo,₹730,273 votes
Chicken Lollipop,₹250,916 votes
Chilli Butter Chicken,₹240,570 votes
Paneer Butter Masala,₹180,1083 votes
Veg Biryani Single,₹110,1280 votes
Double Ka Meetha,₹80,1519 votes
Tangdi Kebab,₹150,714 votes
Chicken Drumsticks,₹250,444 votes
Chicken Shawarma,₹125,683 votes
Chicken Fried Rice,₹160,450 votes
Prawns Biryani,₹320,222 votes
Butter Naan,₹30,2139 votes
Boneless Chicken Biryani,₹320,296 votes
Broasted Chicken 2 + 2=5,₹350,107 votes
Grilled Chicken + Chicken Biryani Full,₹400,224 votes
Apollo Fish,₹260,276 votes
Chicken Pizza,₹156,127 votes
Chicken Grilled Sandwich Combo,₹210,87 votes
Chicken Burger,₹92,349 votes
Chicken Cheese Burger,₹97,79 votes
Corn Cheese Pizza,₹126,48 votes
Veg Fried Rice,₹130,306 votes
Zeera Fried Rice,₹130,69 votes
Schezwan Veg Fired Rice,₹120,64 votes
Chicken Biryani Full,₹230,17019 votes
Chicken Biryani Single,₹140,16667 votes
Chicken Biryani Family,₹550,3586 votes
Chicken Biryani Jumbo,₹700,1963 votes
Mutton Biryani Full,₹250,4092 votes
Mutton Biryani Single,₹150,4885 votes
Spl. Chicken Biryani,₹310,1636 votes
Mutton Biryani Family,₹600,631 votes
Mutton Biryani Jumbo,₹730,273 votes
Paneer Biryani,₹220,1226 votes
Veg Biryani Single,₹110,1280 votes
Prawns Biryani,₹320,222 votes
Fish Biryani,₹320,130 votes
Mushroom Biryani,₹220,157 votes
Spl. Mutton Biryani,₹320,459 votes
Boneless Chicken Biryani,₹320,296 votes
Kheema Biryani ( Mutton),₹320,59 votes
Veg Biryani Family,₹350,135 votes
Veg Biryani Jumbo,₹450,56 votes
Veg Manchuria,₹190,148 votes
Paneer Manchuria,₹190,51 votes
Paneer - 65,₹190,77 votes
Paneer Chilli Dry,₹190,43 votes
Paneer Tikka,₹200,9 votes
Baby Corn Crispy,₹190,84 votes
Mushroom Manchuria,₹190,52 votes
Gobi Manchuria,₹190,58 votes
Baby Corn Manchuria,₹190,32 votes
Chilli Baby Corn,₹190,16 votes
Paneer Majestic,₹190,25 votes
Gobi - 65,₹190,15 votes
Chicken - 65,₹240,743 votes
Chilli Chicken,₹240,287 votes
Chicken Drumsticks,₹250,444 votes
Chicken Manchuria,₹240,141 votes
Chicken Majestic,₹250,247 votes
Chicken Lollipop,₹250,916 votes
Pepper Chicken,₹250,68 votes
Ginger Chicken,₹240,34 votes
Apollo Fish,₹260,276 votes
Loose Prawns,₹260,70 votes
Chilly Prawns,₹260,13 votes
Chilli Fish,₹260,19 votes
Tandoori Chicken,₹220,1358 votes
Grilled Chicken,₹200,884 votes
Tangdi Kebab,₹150,714 votes
Chicken Tikka,₹150,169 votes
Hariyali Chicken Kebab,₹150,98 votes
Murg Malai Kebab,₹150,40 votes
Reshmi Chicken Kebab,₹150,73 votes
Fish Tikka,₹180,24 votes
Prawns Tikka,₹300,11 votes
Grilled Chicken + Chicken Biryani Full,₹400,224 votes
Mutton Biryani Full & Half 65,₹350,60 votes
Veg Biryani Family + Veg Manchurian,₹500,37 votes
Tangdi Kebab + Chicken Biryani Full,₹350,102 votes
Tangdi Kebab + Spl Chicken Biryani Full,₹430,23 votes
Paneer Butter Masala,₹180,1083 votes
Kadhai Paneer,₹190,103 votes
Paneer Tikka Masala,₹190,81 votes
Kaju Paneer,₹190,265 votes
Palak Paneer,₹180,98 votes
Mix Veg Curry,₹180,39 votes
Mushroom Masala,₹180,56 votes
Malai Kofta,₹190,34 votes
Paneer Shahi Korma,₹180,20 votes
Punjbai Veg Masala,₹180,18 votes
Alu Gobi Masala,₹180,10 votes
Chilli Butter Chicken,₹240,570 votes
Chicken Curry,₹240,162 votes
Chicken Tikka Masala,₹250,92 votes
Andhra Chicken,₹250,66 votes
Kadhai Chicken,₹240,96 votes
Egg Curry,₹130,80 votes
Chicken Punjabi,₹250,54 votes
Afghani Chicken,₹240,38 votes
Tandoori Chicken Masala,₹250,30 votes
Methi Chicken,₹240,19 votes
Chicken Fry Boneless,₹250,19 votes
Chicken Nawabi,₹240,25 votes
Hyderabadi Chicken,₹240,10 votes
Chicken Masala,₹240,30 votes
Shahi Chicken,₹240,11 votes
Mutton Masala,₹260,47 votes
Kadhai Mutton,₹260,35 votes
Mutton Fry,₹260,37 votes
Mutton Curry,₹260,50 votes
Andhra Mutton,₹260,16 votes
Mutton Roghan Josh,₹260,17 votes
Methi Mutton,₹260,10 votes
Mutton Shahi Korma,₹260,6 votes
Prawns Curry,₹260,13 votes
Fish Masala,₹260,6 votes
Andhra Fish Curry,₹260,10 votes
Kadai Prawns,₹260,10 votes
Fish Curry,₹260,10 votes
Andhra Prawns Masala,₹260,10 votes
Kadhai Fish,₹260,5 votes
Prawns Masala,₹260,10 votes
Butter Naan,₹30,2139 votes
Rumali Roti,₹20,1428 votes
Tandoori Roti,₹20,810 votes
Plain Naan,₹25,118 votes
Garlic Naan,₹35,187 votes
Garlic Roti,₹25,63 votes
Chicken Fried Rice,₹160,450 votes
Egg Fried Rice,₹140,198 votes
Mehfil Spl. Non Veg Fried Rice,₹180,133 votes
Mixed Fried Rice,₹180,96 votes
Schezwan Chicken Fried Rice,₹160,53 votes
Mutton Fried Rice,₹170,16 votes
Prawns Fried Rice,₹170,31 votes
Chicken Soft Noodles,₹140,87 votes
Egg Soft Noodles,₹110,30 votes
Schezwan Veg Soft Nooldes,₹150,12 votes
Mixed Soft Noodles,₹150,13 votes
Mutton Soft Noodles,₹150,9 votes
Veg Soft Noodles,₹150,12 votes
Pineapple Cake,₹450,10 votes
Chocolate Cake,₹650,1519 votes
Juicy Black Forest [1 Kg],₹550,475 votes
Nutty Butter Scoch [1 Kg],₹550,149 votes
Strawberry Delicious [1 Kg],₹500,223 votes
Double Ka Meetha,₹80,44 votes
Kaddu Ka Kheer,₹80,155 votes
Qubani Ka Meetha,₹80,57 votes
Black Forest,₹52,21 votes
Fruit Custard,₹77,27 votes
Butter Scoch,₹47,13 votes
Pine Apple,₹42,74 votes
Choco Delight,₹87,10 votes
Choclate Muffins,₹45,13 votes
Choco Vanila,₹62,10 votes
Cream Donuts,₹52,107 votes
Full Size Dil Kush,₹168,23 votes
Vannila Muffins,₹45,13 votes
Chocolat Donut,₹50,82 votes
Chicken Nuggets (06 Pics),₹110,30 votes
04 Pics Broasted Chicken,₹330,28 votes
08 Pics Broasted Chicken,₹550,107 votes
French Fries (Regular),₹100,39 votes
French Fries (large),₹150,87 votes
20 Pics Broasted Chicken,₹1250,20 votes
10 Pics Crispy Wings,₹380,10 votes
Broasted Chicken 2 + 2=5,₹350,20 votes
Special Chicken Shawarma Combo,₹239,22 votes
Chicken Grilled Sandwich Combo,₹210,10 votes
Broasted Chicken 4 + 4=9,₹580,127 votes
3 In One Combo,₹485,59 votes
Veg Grilled Sandwich Combo,₹175,53 votes
Veg Special Shwarma Combo,₹175,26 votes
Osmania Combo,₹220,38 votes
Chicken Pizza,₹156,48 votes
Chicken Sixty Five Pizza,₹156,349 votes
Veg Pizza,₹126,50 votes
Chicken Pataka Pizza,₹186,79 votes
Paneer Pizza,₹135,12 votes
Corn Cheese Pizza,₹126,37 votes
Chicken Burger,₹92,47 votes
Veg Burger,₹71,16 votes
Chicken Cheese Burger,₹97,18 votes
Paneer Burger,₹82,6 votes
Chicken Grilled Sandwich,₹97,88 votes
Chicken Sandwich,₹82,21 votes
Veg Grilled Sandwich,₹77,10 votes
Chicken Cheese Sandwich,₹87,1693 votes
Veg Sandwich,₹67,683 votes
Chicken Toast,₹60,502 votes
Veg Toast,₹50,282 votes
Chicken Cutlet,₹55,206 votes
Veg Cutlet,₹45,177 votes
Chicken Special Shawarma,₹135,136 votes
Chicken Shawarma,₹125,103 votes
Chicken Puff,₹30,32 votes
Egg Puff,₹25,11 votes
Veg Puff,₹20,57 votes
Chicken 65 Puff,₹30,32 votes
Onion Samosa (4 Pcs),₹36,15 votes
Sweet Corn Samosa (4 Pcs),₹40,10 votes
Chicken Roll,₹75,23 votes
Veg Roll,₹60,12 votes
Chicken 65 Cheese Roll,₹85,13 votes
Chicken 65 Roll,₹75,16 votes
